HomeID,YearBuilt,SquareFeet,HeatingType,InsulationLevel,WindowType,AirSealing,Occupants,ClimateZone,HomeType,PredictedEnergyCost,EnergyRating
63,1980,1450,Oil,Low,Single,Poor,2,Arctic,Townhome,3300,45
64,2008,2050,Heat Pump,High,Triple,Tight,4,Subarctic,Townhome,1850,79
65,1991,1700,Natural Gas,Medium,Double,Average,3,Arctic,Townhome,2550,63
66,1986,1550,Electric,Low,Single,Poor,2,Subarctic,Townhome,3200,48
67,2014,2250,Heat Pump,High,Triple,Tight,4,Arctic,Townhome,1750,84
68,1977,1300,Oil,Low,Single,Poor,2,Subarctic,Townhome,3450,41
69,1999,1750,Natural Gas,Medium,Double,Average,3,Arctic,Townhome,2500,66
70,2003,1900,Electric,Medium,Double,Average,3,Subarctic,Townhome,2700,57
71,1982,1500,Oil,Low,Single,Poor,2,Subarctic,Cabin,3800,33
72,1990,1600,Electric,Medium,Double,Average,2,Arctic,Cabin,2950,54
73,2005,1850,Natural Gas,High,Triple,Tight,3,Subarctic,Cabin,2200,72
74,1987,1400,Oil,Low,Single,Poor,2,Arctic,Cabin,3500,42
75,1996,1700,Electric,Medium,Double,Average,3,Subarctic,Cabin,2750,55
76,2013,2100,Heat Pump,High,Triple,Tight,4,Arctic,Cabin,1800,81
77,1974,1200,Oil,Low,Single,Poor,2,Subarctic,Cabin,3650,37
78,1993,1600,Natural Gas,Medium,Double,Average,3,Arctic,Cabin,2450,63
79,1985,1350,Electric,Low,Single,Poor,2,Subarctic,Cabin,3300,48
80,2007,2000,Heat Pump,High,Triple,Tight,4,Arctic,Cabin,1850,79
81,1988,1500,Natural Gas,Medium,Double,Average,3,Subarctic,Mobile Home,2650,58
82,1979,1300,Electric,Low,Single,Poor,2,Arctic,Mobile Home,3400,44
83,1995,1650,Oil,Medium,Double,Average,3,Subarctic,Mobile Home,2900,53
84,2002,1800,Heat Pump,High,Triple,Tight,4,Arctic,Mobile Home,2000,76
85,1992,1550,Natural Gas,Medium,Double,Average,2,Subarctic,Mobile Home,2550,62
86,1981,1400,Electric,Low,Single,Poor,2,Arctic,Mobile Home,3300,47
87,2011,2200,Heat Pump,High,Triple,Tight,4,Subarctic,Mobile Home,1850,79
88,1978,1300,Oil,Low,Single,Poor,2,Arctic,Mobile Home,3450,40
89,1997,1700,Electric,Medium,Double,Average,3,Subarctic,Mobile Home,2800,56
90,2004,1950,Natural Gas,High,Triple,Tight,4,Arctic,Mobile Home,2100,70
91,1986,1500,Oil,Medium,Double,Average,3,Subarctic,Multi-Family,3000,52
92,1998,1750,Electric,Low,Single,Poor,2,Arctic,Multi-Family,3150,46
93,2006,1900,Natural Gas,High,Triple,Tight,4,Subarctic,Multi-Family,2250,68
94,2015,2300,Heat Pump,High,Triple,Tight,4,Arctic,Multi-Family,1700,84
95,1975,1250,Oil,Low,Single,Poor,2,Subarctic,Multi-Family,3550,39
96,1994,1650,Electric,Medium,Double,Average,3,Arctic,Multi-Family,2750,55
97,1989,1550,Natural Gas,Medium,Double,Average,2,Subarctic,Multi-Family,2600,61
98,2008,2000,Heat Pump,High,Triple,Tight,5,Arctic,Multi-Family,1900,78
99,1991,1450,Electric,Low,Single,Poor,2,Subarctic,Multi-Family,3200,47
100,2012,2250,Heat Pump,High,Triple,Tight,4,Arctic,Multi-Family,1800,82
